"Pp","Virion","Prob"
0.58,34,0.999999999998759
0.58,35,0.999999999999479
0.58,36,0.999999999999781
0.58,37,0.999999999999908
0.58,38,0.999999999999961
0.58,39,0.999999999999984
0.58,40,0.999999999999993
0.58,41,0.999999999999997
0.58,42,0.999999999999999
0.58,43,0.999999999999999
0.58,44,1
0.58,45,1
0.58,46,1
0.58,47,1
0.58,48,1
0.58,49,1
0.58,50,1
0.58,51,1
0.58,52,1
0.58,53,1
0.58,54,1
0.58,55,1
0.58,56,1
0.58,57,1
0.58,58,1
0.58,59,1
0.58,60,1
0.58,61,1
0.58,62,1
0.58,63,1
0.58,64,1
0.58,65,1
0.58,66,1
0.58,67,1
0.58,68,1
0.58,69,1
0.58,70,1
0.58,71,1
0.58,72,1
0.58,73,1
0.58,74,1
0.58,75,1
0.58,76,1
0.58,77,1
0.58,78,1
0.58,79,1
0.58,80,1
0.58,81,1
0.58,82,1
0.58,83,1
0.58,84,1
0.58,85,1
0.58,86,1
0.58,87,1
0.58,88,1
0.58,89,1
0.58,90,1
0.58,91,1
0.58,92,1
0.58,93,1
0.58,94,1
0.58,95,1
0.58,96,1
0.58,97,1
0.58,98,1
0.58,99,1
0.58,100,1
0.9,1,0.43046721
0.9,2,0.92274469442792
0.9,3,0.992027944069944
0.9,4,0.999200279944007
0.9,5,0.999920002799944
0.9,6,0.999992000028
0.9,7,0.99999920000028
0.9,8,0.999999920000003
0.9,9,0.999999992
0.9,10,0.9999999992
0.9,11,0.99999999992
0.9,12,0.999999999992
0.9,13,0.9999999999992
0.9,14,0.99999999999992
0.9,15,0.999999999999992
0.9,16,0.999999999999999
0.9,17,1
0.9,18,1
0.9,19,1
0.9,20,1
0.9,21,1
0.9,22,1
0.9,23,1
0.9,24,1
0.9,25,1
0.9,26,1
0.9,27,1
0.9,28,1
0.9,29,1
0.9,30,1
0.9,31,1
0.9,32,1
0.9,33,1
0.9,34,1
0.9,35,1
0.9,36,1
0.9,37,1
0.9,38,1
0.9,39,1
0.9,40,1
0.9,41,1
0.9,42,1
0.9,43,1
0.9,44,1
0.9,45,1
0.9,46,1
0.9,47,1
0.9,48,1
0.9,49,1
0.9,50,1
0.9,51,1
0.9,52,1
0.9,53,1
0.9,54,1
0.9,55,1
0.9,56,1
0.9,57,1
0.9,58,1
0.9,59,1
0.9,60,1
0.9,61,1
0.9,62,1
0.9,63,1
0.9,64,1
0.9,65,1
0.9,66,1
0.9,67,1
0.9,68,1
0.9,69,1
0.9,70,1
0.9,71,1
0.9,72,1
0.9,73,1
0.9,74,1
0.9,75,1
0.9,76,1
0.9,77,1
0.9,78,1
0.9,79,1
0.9,80,1
0.9,81,1
0.9,82,1
0.9,83,1
0.9,84,1
0.9,85,1
0.9,86,1
0.9,87,1
0.9,88,1
0.9,89,1
0.9,90,1
0.9,91,1
0.9,92,1
0.9,93,1
0.9,94,1
0.9,95,1
0.9,96,1
0.9,97,1
0.9,98,1
0.9,99,1
0.9,100,1
