"Spread_Frac","Virus_D","Intact_To_Target_Cells","Sim","To_Target_Cells","Target_Cell_Cost"
"Diffusion Only",0.765295929698057,7.2,2,18,150
"Diffusion Only",0.765295929698057,7.2,3,19,163.888888888889
"Diffusion Only",0.765295929698057,7.2,4,21,191.666666666667
"Diffusion Only",0.765295929698057,7.2,5,17,136.111111111111
"Diffusion Only",0.765295929698057,7.2,6,18,150
"Diffusion Only",0.765295929698057,7.2,7,18,150
"Diffusion Only",0.765295929698057,7.2,8,18,150
"Diffusion Only",0.765295929698057,7.2,9,19,163.888888888889
"Diffusion Only",0.765295929698057,7.2,10,20,177.777777777778
"Diffusion Only",1.06632592536204,6.5,1,18,176.923076923077
"Diffusion Only",1.06632592536204,6.5,2,19,192.307692307692
"Diffusion Only",1.06632592536204,6.5,3,18,176.923076923077
"Diffusion Only",1.06632592536204,6.5,4,18,176.923076923077
"Diffusion Only",1.06632592536204,6.5,5,15,130.769230769231
"Diffusion Only",1.06632592536204,6.5,6,16,146.153846153846
"Diffusion Only",1.06632592536204,6.5,7,18,176.923076923077
"Diffusion Only",1.06632592536204,6.5,8,17,161.538461538462
"Diffusion Only",1.06632592536204,6.5,9,19,192.307692307692
"Diffusion Only",1.06632592536204,6.5,10,19,192.307692307692
"Diffusion Only",1.36735592102602,6.3,1,19,201.587301587302
"Diffusion Only",1.36735592102602,6.3,2,23,265.079365079365
"Diffusion Only",1.36735592102602,6.3,3,20,217.460317460317
"Diffusion Only",1.36735592102602,6.3,4,20,217.460317460317
"Diffusion Only",1.36735592102602,6.3,5,16,153.968253968254
"Diffusion Only",1.36735592102602,6.3,6,18,185.714285714286
"Diffusion Only",1.36735592102602,6.3,7,18,185.714285714286
"Diffusion Only",1.36735592102602,6.3,8,17,169.84126984127
"Diffusion Only",1.36735592102602,6.3,9,20,217.460317460317
"Diffusion Only",1.36735592102602,6.3,10,19,201.587301587302
"Diffusion Only",1.5434471800817,6.3,1,20,217.460317460317
"Diffusion Only",1.5434471800817,6.3,2,19,201.587301587302
"Diffusion Only",1.5434471800817,6.3,3,21,233.333333333333
"Diffusion Only",1.5434471800817,6.3,4,19,201.587301587302
"Diffusion Only",1.5434471800817,6.3,5,18,185.714285714286
"Diffusion Only",1.5434471800817,6.3,6,17,169.84126984127
"Diffusion Only",1.5434471800817,6.3,7,21,233.333333333333
"Diffusion Only",1.5434471800817,6.3,8,19,201.587301587302
"Diffusion Only",1.5434471800817,6.3,9,22,249.206349206349
"Diffusion Only",1.5434471800817,6.3,10,21,233.333333333333
"Diffusion Only",1.66838591669,6.1,1,20,227.868852459016
"Diffusion Only",1.66838591669,6.1,2,21,244.262295081967
"Diffusion Only",1.66838591669,6.1,3,22,260.655737704918
"Diffusion Only",1.66838591669,6.1,4,21,244.262295081967
"Diffusion Only",1.66838591669,6.1,5,17,178.688524590164
"Diffusion Only",1.66838591669,6.1,6,20,227.868852459016
"Diffusion Only",1.66838591669,6.1,7,19,211.475409836066
"Diffusion Only",1.66838591669,6.1,8,20,227.868852459016
"Diffusion Only",1.66838591669,6.1,9,22,260.655737704918
"Diffusion Only",1.66838591669,6.1,10,23,277.049180327869
"Diffusion Only",1.76529592969806,6.2,1,20,222.58064516129
"Diffusion Only",1.76529592969806,6.2,2,22,254.838709677419
"Diffusion Only",1.76529592969806,6.2,3,22,254.838709677419
"Diffusion Only",1.76529592969806,6.2,4,21,238.709677419355
"Diffusion Only",1.76529592969806,6.2,5,22,254.838709677419
"Diffusion Only",1.76529592969806,6.2,6,22,254.838709677419
"Diffusion Only",1.76529592969806,6.2,7,24,287.096774193548
"Diffusion Only",1.76529592969806,6.2,8,22,254.838709677419
"Diffusion Only",1.76529592969806,6.2,9,23,270.967741935484
"Diffusion Only",1.76529592969806,6.2,10,22,254.838709677419
"Diffusion Only",2.06632592536204,6.1,1,27,342.622950819672
"Diffusion Only",2.06632592536204,6.1,2,25,309.83606557377
"Diffusion Only",2.06632592536204,6.1,3,28,359.016393442623
"Diffusion Only",2.06632592536204,6.1,4,28,359.016393442623
"Diffusion Only",2.06632592536204,6.1,5,21,244.262295081967
"Diffusion Only",2.06632592536204,6.1,6,25,309.83606557377
"Diffusion Only",2.06632592536204,6.1,7,29,375.409836065574
"Diffusion Only",2.06632592536204,6.1,8,25,309.83606557377
"Diffusion Only",2.06632592536204,6.1,9,26,326.229508196721
"Diffusion Only",2.06632592536204,6.1,10,29,375.409836065574
"Diffusion Only",2.36735592102602,6.1,1,31,408.196721311475
"Diffusion Only",2.36735592102602,6.1,2,30,391.803278688525
"Diffusion Only",2.36735592102602,6.1,3,29,375.409836065574
"Diffusion Only",2.36735592102602,6.1,4,34,457.377049180328
"Diffusion Only",2.36735592102602,6.1,5,24,293.44262295082
"Diffusion Only",2.36735592102602,6.1,6,29,375.409836065574
"Diffusion Only",2.36735592102602,6.1,7,36,490.16393442623
"Diffusion Only",2.36735592102602,6.1,8,33,440.983606557377
"Diffusion Only",2.36735592102602,6.1,9,28,359.016393442623
"Diffusion Only",2.36735592102602,6.1,10,25,309.83606557377
"Diffusion Only",2.5434471800817,6.1,1,31,408.196721311475
"Diffusion Only",2.5434471800817,6.1,2,30,391.803278688525
"Diffusion Only",2.5434471800817,6.1,3,38,522.950819672131
"Diffusion Only",2.5434471800817,6.1,4,39,539.344262295082
"Diffusion Only",2.5434471800817,6.1,5,28,359.016393442623
"Diffusion Only",2.5434471800817,6.1,6,33,440.983606557377
"Diffusion Only",2.5434471800817,6.1,7,39,539.344262295082
"Diffusion Only",2.5434471800817,6.1,8,35,473.770491803279
"Diffusion Only",2.5434471800817,6.1,9,35,473.770491803279
"Diffusion Only",2.5434471800817,6.1,10,29,375.409836065574
"Diffusion Only",2.66838591669,6,1,29,383.333333333333
"Diffusion Only",2.66838591669,6,2,28,366.666666666667
"Diffusion Only",2.66838591669,6,3,34,466.666666666667
"Diffusion Only",2.66838591669,6,4,37,516.666666666667
"Diffusion Only",2.66838591669,6,5,31,416.666666666667
"Diffusion Only",2.66838591669,6,6,32,433.333333333333
"Diffusion Only",2.66838591669,6,7,36,500
"Diffusion Only",2.66838591669,6,8,30,400
"Diffusion Only",2.66838591669,6,9,35,483.333333333333
"Diffusion Only",2.66838591669,6,10,28,366.666666666667
"Diffusion Only",2.76529592969806,6.1,1,32,424.590163934426
"Diffusion Only",2.76529592969806,6.1,2,29,375.409836065574
"Diffusion Only",2.76529592969806,6.1,3,36,490.16393442623
"Diffusion Only",2.76529592969806,6.1,4,38,522.950819672131
"Diffusion Only",2.76529592969806,6.1,5,33,440.983606557377
"Diffusion Only",2.76529592969806,6.1,6,34,457.377049180328
"Diffusion Only",2.76529592969806,6.1,7,38,522.950819672131
"Diffusion Only",2.76529592969806,6.1,8,42,588.524590163934
"Diffusion Only",2.76529592969806,6.1,9,38,522.950819672131
"Diffusion Only",2.76529592969806,6.1,10,29,375.409836065574
"Diffusion Only",3.06632592536204,6.1,1,35,473.770491803279
"Diffusion Only",3.06632592536204,6.1,2,30,391.803278688525
"Diffusion Only",3.06632592536204,6.1,3,39,539.344262295082
"Diffusion Only",3.06632592536204,6.1,4,37,506.55737704918
"Diffusion Only",3.06632592536204,6.1,5,34,457.377049180328
"Diffusion Only",3.06632592536204,6.1,6,35,473.770491803279
"Diffusion Only",3.06632592536204,6.1,7,45,637.704918032787
"Diffusion Only",3.06632592536204,6.1,8,45,637.704918032787
"Diffusion Only",3.06632592536204,6.1,9,39,539.344262295082
"Diffusion Only",3.06632592536204,6.1,10,28,359.016393442623
"Diffusion Only",3.36735592102602,6,1,37,516.666666666667
"Diffusion Only",3.36735592102602,6,2,35,483.333333333333
"Diffusion Only",3.36735592102602,6,3,36,500
"Diffusion Only",3.36735592102602,6,4,34,466.666666666667
"Diffusion Only",3.36735592102602,6,5,36,500
"Diffusion Only",3.36735592102602,6,6,36,500
"Diffusion Only",3.36735592102602,6,7,47,683.333333333333
"Diffusion Only",3.36735592102602,6,8,36,500
"Diffusion Only",3.36735592102602,6,9,36,500
"Diffusion Only",3.36735592102602,6,10,33,450
"Diffusion Only",3.5434471800817,6,1,37,516.666666666667
"Diffusion Only",3.5434471800817,6,2,32,433.333333333333
"Diffusion Only",3.5434471800817,6,3,42,600
"Diffusion Only",3.5434471800817,6,4,33,450
"Diffusion Only",3.5434471800817,6,5,32,433.333333333333
"Diffusion Only",3.5434471800817,6,6,35,483.333333333333
"Diffusion Only",3.5434471800817,6,7,45,650
"Diffusion Only",3.5434471800817,6,8,50,733.333333333333
"Diffusion Only",3.5434471800817,6,9,42,600
"Diffusion Only",3.5434471800817,6,10,29,383.333333333333
"Diffusion Only",3.66838591669,6.2,1,31,400
"Diffusion Only",3.66838591669,6.2,2,29,367.741935483871
"Diffusion Only",3.66838591669,6.2,3,47,658.064516129032
"Diffusion Only",3.66838591669,6.2,4,37,496.774193548387
"Diffusion Only",3.66838591669,6.2,5,30,383.870967741935
"Diffusion Only",3.66838591669,6.2,6,47,658.064516129032
"Diffusion Only",3.66838591669,6.2,7,43,593.548387096774
"Diffusion Only",3.66838591669,6.2,8,36,480.645161290323
"Diffusion Only",3.66838591669,6.2,9,31,400
"Diffusion Only",3.66838591669,6.2,10,27,335.483870967742
"Diffusion Only",3.76529592969806,6.1,1,32,424.590163934426
"Diffusion Only",3.76529592969806,6.1,2,33,440.983606557377
"Diffusion Only",3.76529592969806,6.1,3,36,490.16393442623
"Diffusion Only",3.76529592969806,6.1,4,46,654.098360655738
"Diffusion Only",3.76529592969806,6.1,5,40,555.737704918033
"Diffusion Only",3.76529592969806,6.1,6,36,490.16393442623
"Diffusion Only",3.76529592969806,6.1,7,33,440.983606557377
"Diffusion Only",3.76529592969806,6.1,8,41,572.131147540984
"Diffusion Only",3.76529592969806,6.1,9,40,555.737704918033
"Diffusion Only",3.76529592969806,6.1,10,28,359.016393442623
