"PP","MOI","p_Infected_Comp"
0.1,3.71535229097173e-05,3.7269382278429e-07
0.1,3.80189396320561e-05,3.8140259785526e-07
0.1,3.8904514499428e-05,3.90315528323402e-07
0.1,3.98107170553497e-05,3.99437430955885e-07
0.1,4.07380277804113e-05,4.08773237610645e-07
0.1,4.16869383470336e-05,4.18327998053666e-07
0.1,4.26579518801593e-05,4.28106882848324e-07
0.1,4.36515832240167e-05,4.38115186318768e-07
0.1,4.46683592150963e-05,4.48358329589385e-07
0.1,4.57088189614875e-05,4.58841863702473e-07
0.1,4.67735141287198e-05,4.69571472816253e-07
0.1,4.78630092322638e-05,4.805529774855e-07
0.1,4.89778819368446e-05,4.9179233802707e-07
0.1,5.01187233627273e-05,5.03295657972712e-07
0.1,5.12861383991365e-05,5.15069187611621e-07
0.1,5.24807460249772e-05,5.27119327625257e-07
0.1,5.37031796370253e-05,5.3945263281704e-07
0.1,5.49540873857625e-05,5.52075815939615e-07
0.1,5.62341325190349e-05,5.64995751622465e-07
0.1,5.75439937337157e-05,5.78219480402734e-07
0.1,5.88843655355588e-05,5.91754212862222e-07
0.1,6.02559586074358e-05,6.05607333873604e-07
0.1,6.16595001861482e-05,6.19786406959024e-07
0.1,6.30957344480193e-05,6.34299178764324e-07
0.1,6.45654229034656e-05,6.49153583652248e-07
0.1,6.60693448007596e-05,6.64357748418111e-07
0.1,6.76082975391982e-05,6.79919997131516e-07
0.1,6.91830970918936e-05,6.95848856107807e-07
0.1,7.07945784384137e-05,7.12153059013078e-07
0.1,7.24435960074991e-05,7.28841552106717e-07
0.1,7.41310241300918e-05,7.45923499625527e-07
0.1,7.58577575029184e-05,7.63408289313687e-07
0.1,7.76247116628693e-05,7.8130553810287e-07
0.1,7.94328234724282e-05,7.99625097947054e-07
0.1,8.12830516164099e-05,8.18377061816693e-07
0.1,8.31763771102671e-05,8.37571769857022e-07
0.1,8.51138038202376e-05,8.57219815715548e-07
0.1,8.7096358995608e-05,8.77332053043814e-07
0.1,8.91250938133746e-05,8.97919602178823e-07
0.1,9.1201083935591e-05,9.18993857009601e-07
0.1,9.3325430079699e-05,9.40566492034634e-07
0.1,9.54992586021437e-05,9.62649469616063e-07
0.1,9.77237220955811e-05,9.85255047436774e-07
0.1,1e-04,1.0083957861667e-06
0.1,0.000102329299228075,1.03208455734489e-06
0.1,0.00010471285480509,1.05633455148413e-06
0.1,0.000107151930523761,1.08115928640513e-06
0.1,0.000109647819614319,1.10657261580759e-06
0.1,0.000112201845430196,1.13258873808568e-06
0.1,0.000114815362149688,1.15922220539564e-06
0.1,0.000117489755493953,1.18648793298375e-06
0.1,0.000120226443461741,1.21440120878302e-06
0.1,0.000123026877081238,1.24297770328711e-06
0.1,0.000125892541179417,1.27223347971079e-06
0.1,0.000128824955169313,1.30218500444603e-06
0.1,0.000131825673855641,1.33284915782354e-06
0.1,0.000134896288259165,1.36424324518971e-06
0.1,0.000138038426460289,1.39638500830947e-06
0.1,0.000141253754462275,1.42929263710581e-06
0.1,0.000144543977074593,1.46298478174714e-06
0.1,0.000147910838816821,1.49748056509413e-06
0.1,0.000151356124843621,1.53279959551828e-06
0.1,0.000154881661891248,1.56896198010433e-06
0.1,0.000158489319246111,1.60598833825001e-06
0.1,0.000162181009735893,1.64389981567619e-06
0.1,0.000165958690743756,1.68271809886174e-06
0.1,0.000169824365246174,1.72246542991746e-06
0.1,0.000173780082874938,1.76316462191432e-06
0.1,0.000177827941003892,1.8048390746816e-06
0.1,0.000181970085860998,1.84751279109127e-06
0.1,0.000186208713666287,1.89121039384559e-06
0.1,0.000190546071796325,1.93595714278542e-06
0.1,0.000194984459975805,1.98177895273763e-06
0.1,0.000199526231496888,2.02870241192058e-06
0.1,0.000204173794466953,2.07675480092736e-06
0.1,0.000208929613085404,2.12596411230742e-06
0.1,0.000213796208950223,2.17635907076791e-06
0.1,0.000218776162394955,2.22796915401689e-06
0.1,0.000223872113856834,2.28082461427155e-06
0.1,0.000229086765276777,2.33495650045543e-06
0.1,0.000234422881531992,2.39039668110962e-06
0.1,0.000239883291901949,2.44717786804392e-06
0.1,0.000245470891568503,2.50533364075507e-06
0.1,0.000251188643150958,2.56489847164004e-06
0.1,0.000257039578276886,2.62590775203382e-06
0.1,0.000263026799189538,2.68839781910211e-06
0.1,0.000269153480392692,2.75240598362059e-06
0.1,0.000275422870333817,2.81797055867394e-06
0.1,0.000281838293126446,2.88513088930888e-06
0.1,0.000288403150312661,2.95392738317705e-06
0.1,0.000295120922666639,3.02440154220511e-06
0.1,0.000301995172040202,3.09659599533084e-06
0.1,0.000309029543251359,3.17055453234566e-06
0.1,0.000316227766016838,3.24632213888592e-06
0.1,0.000323593656929628,3.32394503261658e-06
0.1,0.000331131121482591,3.4034707006533e-06
0.1,0.000338844156139203,3.48494793827061e-06
0.1,0.000346736850452532,3.56842688894565e-06
0.1,0.000354813389233576,3.65395908578962e-06
0.1,0.000363078054770101,3.74159749442068e-06
0.1,0.000371535229097172,3.83139655733478e-06
0.1,0.000380189396320561,3.92341223983305e-06
0.1,0.00038904514499428,4.01770207756704e-06
0.1,0.000398107170553497,4.11432522576562e-06
0.1,0.000407380277804113,4.21334251021019e-06
0.1,0.000416869383470336,4.31481648002762e-06
0.1,0.000426579518801593,4.41881146237341e-06
0.1,0.000436515832240166,4.52539361908074e-06
0.1,0.000446683592150963,4.6346310053542e-06
0.1,0.000457088189614875,4.74659363059061e-06
0.1,0.000467735141287198,4.86135352141283e-06
0.1,0.000478630092322639,4.97898478700624e-06
0.1,0.000489778819368446,5.09956368685141e-06
0.1,0.000501187233627273,5.22316870095083e-06
0.1,0.000512861383991365,5.34988060265157e-06
0.1,0.000524807460249773,5.47978253417043e-06
0.1,0.000537031796370253,5.61296008493284e-06
0.1,0.000549540873857625,5.74950137284156e-06
0.1,0.000562341325190349,5.8894971285966e-06
0.1,0.000575439937337157,6.03304078319294e-06
0.1,0.000588843655355589,6.18022855872842e-06
0.1,0.000602559586074358,6.33115956266025e-06
0.1,0.000616595001861482,6.48593588565408e-06
0.1,0.000630957344480194,6.64466270317721e-06
0.1,0.000645654229034656,6.80744838099315e-06
0.1,0.000660693448007596,6.97440458472248e-06
0.1,0.000676082975391982,7.1456463936423e-06
0.1,0.000691830970918936,7.3212924189043e-06
0.1,0.000707945784384138,7.50146492635948e-06
0.1,0.00072443596007499,7.68628996418649e-06
0.1,0.000741310241300918,7.875897495529e-06
0.1,0.000758577575029184,8.0704215363573e-06
0.1,0.000776247116628692,8.27000029877903e-06
0.1,0.000794328234724281,8.47477634003388e-06
0.1,0.000812830516164099,8.68489671741865e-06
0.1,0.000831763771102671,8.90051314939931e-06
0.1,0.000851138038202377,9.12178218317969e-06
0.1,0.000870963589956081,9.34886536900759e-06
0.1,0.000891250938133746,9.58192944151338e-06
0.1,0.00091201083935591,9.82114650838849e-06
0.1,0.000933254300796991,1.00666942467266e-05
0.1,0.000954992586021436,1.03187561073647e-05
0.1,0.000977237220955811,1.05775215275761e-05
0.1,0.001,1.08431861524869e-05
0.1,0.00102329299228075,1.11159520655999e-05
0.1,0.0010471285480509,1.13960280288322e-05
0.1,0.00107151930523761,1.16836297324908e-05
0.1,0.00109647819614319,1.19789800556271e-05
0.1,0.00112201845430196,1.2282309337238e-05
0.1,0.00114815362149688,1.25938556587974e-05
0.1,0.00117489755493953,1.29138651386278e-05
0.1,0.00120226443461741,1.32425922386463e-05
0.1,0.00123026877081238,1.3580300084042e-05
0.1,0.00125892541179417,1.39272607964707e-05
0.1,0.00128824955169313,1.42837558413795e-05
0.1,0.00131825673855641,1.46500763901027e-05
0.1,0.00134896288259165,1.50265236974021e-05
0.1,0.00138038426460289,1.54134094951562e-05
0.1,0.00141253754462275,1.58110564029363e-05
0.1,0.00144543977074593,1.62197983562432e-05
0.1,0.00147910838816821,1.66399810532163e-05
0.1,0.00151356124843621,1.70719624206633e-05
0.1,0.00154881661891248,1.75161131003027e-05
0.1,0.00158489319246111,1.79728169561527e-05
0.1,0.00162181009735893,1.84424716040445e-05
0.1,0.00165958690743756,1.89254889642875e-05
0.1,0.00169824365246174,1.94222958385617e-05
0.1,0.00173780082874938,1.99333345121672e-05
0.1,0.00177827941003892,2.0459063382812e-05
0.1,0.00181970085860998,2.09999576171817e-05
0.1,0.00186208713666287,2.15565098365914e-05
0.1,0.00190546071796325,2.2129230833086e-05
0.1,0.00194984459975805,2.27186503174223e-05
0.1,0.00199526231496888,2.33253177004341e-05
0.1,0.00204173794466953,2.39498029093601e-05
0.1,0.00208929613085404,2.45926972407866e-05
0.1,0.00213796208950223,2.52546142519445e-05
0.1,0.00218776162394955,2.5936190692182e-05
0.1,0.00223872113856834,2.66380874765256e-05
0.1,0.00229086765276777,2.73609907033401e-05
0.1,0.00234422881531992,2.81056127181935e-05
0.1,0.00239883291901949,2.88726932261424e-05
0.1,0.00245470891568503,2.96630004547615e-05
0.1,0.00251188643150958,3.04773323703582e-05
0.1,0.00257039578276886,3.13165179499359e-05
0.1,0.00263026799189538,3.2181418511599e-05
0.1,0.00269153480392692,3.30729291062267e-05
0.1,0.00275422870333817,3.39919799733883e-05
0.1,0.00281838293126445,3.49395380646202e-05
0.1,0.00288403150312661,3.59166086373453e-05
0.1,0.00295120922666639,3.69242369228818e-05
0.1,0.00301995172040202,3.79635098721624e-05
0.1,0.00309029543251359,3.90355579829731e-05
0.1,0.00316227766016838,4.01415572127118e-05
0.1,0.00323593656929628,4.12827309808751e-05
0.1,0.00331131121482591,4.24603522656959e-05
0.1,0.00338844156139203,4.36757457995848e-05
0.1,0.00346736850452532,4.49302903682634e-05
0.1,0.00354813389233576,4.62254212187376e-05
0.1,0.00363078054770101,4.7562632581519e-05
0.1,0.00371535229097173,4.89434803127884e-05
0.1,0.00380189396320561,5.03695846624889e-05
0.1,0.0038904514499428,5.18426331746512e-05
0.1,0.00398107170553497,5.33643837265803e-05
0.1,0.00407380277804113,5.49366677138845e-05
0.1,0.00416869383470336,5.65613933886908e-05
0.1,0.00426579518801593,5.82405493587791e-05
0.1,0.00436515832240166,5.99762082557794e-05
0.1,0.00446683592150963,6.17705305809991e-05
0.1,0.00457088189614875,6.36257687379129e-05
0.1,0.00467735141287198,6.55442712608196e-05
0.1,0.00478630092322639,6.75284872496816e-05
0.1,0.00489778819368446,6.95809710216969e-05
0.1,0.00501187233627272,7.17043869907205e-05
0.1,0.00512861383991365,7.39015147862473e-05
0.1,0.00524807460249773,7.61752546243017e-05
0.1,0.00537031796370253,7.85286329432441e-05
0.1,0.00549540873857625,8.09648083182121e-05
0.1,0.00562341325190349,8.34870776686553e-05
0.1,0.00575439937337157,8.60988827742132e-05
0.1,0.00588843655355589,8.88038171150152e-05
0.1,0.00602559586074358,9.16056330533666e-05
0.1,0.00616595001861482,9.45082493747069e-05
0.1,0.00630957344480194,9.75157592067227e-05
0.1,0.00645654229034656,0.000100632438336527
0.1,0.00660693448007596,0.000103862753946933
0.1,0.00676082975391982,0.000107211373793993
0.1,0.00691830970918936,0.000110683175849248
0.1,0.00707945784384138,0.000114283258431389
0.1,0.0072443596007499,0.000118016950853459
0.1,0.00741310241300918,0.000121889824613163
0.1,0.00758577575029184,0.00012590770515542
0.1,0.00776247116628692,0.000130076684237921
0.1,0.00794328234724281,0.000134403132932215
0.1,0.00812830516164099,0.000138893715294673
0.1,0.00831763771102671,0.000143555402743651
0.1,0.00851138038202377,0.000148395489181237
0.1,0.0087096358995608,0.00015342160690016
0.1,0.00891250938133746,0.000158641743318798
0.1,0.0091201083935591,0.000164064258589643
0.1,0.00933254300796992,0.00016969790412926
0.1,0.00954992586021436,0.000175551842120514
0.1,0.00977237220955811,0.000181635666040819
0.1,0.01,0.000187959422273277
0.1,0.0102329299228075,0.000194533632860914
0.1,0.010471285480509,0.000201369319467742
0.1,0.0107151930523761,0.000208478028614129
0.1,0.0109647819614319,0.000215871858257939
0.1,0.0112201845430196,0.000223563485797133
0.1,0.0114815362149688,0.000231566197574025
0.1,0.0117489755493953,0.000239893919966133
0.1,0.0120226443461741,0.00024856125215369
0.1,0.0123026877081238,0.000257583500659222
0.1,0.0125892541179417,0.000266976715760375
0.1,0.0128824955169313,0.000276757729883247
0.1,0.0131825673855641,0.000286944198089993
0.1,0.0134896288259165,0.000297554640781356
0.1,0.0138038426460288,0.000308608488742119
0.1,0.0141253754462276,0.000320126130665311
0.1,0.0144543977074593,0.000332128963299283
0.1,0.0147910838816821,0.000344639444370671
0.1,0.0151356124843621,0.000357681148445653
0.1,0.0154881661891248,0.000371278825901971
0.1,0.0158489319246111,0.000385458465194884
0.1,0.0162181009735893,0.00040024735861163
0.1,0.0165958690743756,0.000415674171721076
0.1,0.0169824365246175,0.000431769016738258
0.1,0.0173780082874938,0.000448563530037216
0.1,0.0177827941003892,0.000466090954060345
0.1,0.0181970085860998,0.00048438622388809
0.1,0.0186208713666287,0.000503486058749607
0.1,0.0190546071796325,0.000523429058772823
0.1,0.0194984459975805,0.000544255807291445
0.1,0.0199526231496888,0.000566008979046714
0.1,0.0204173794466953,0.000588733454643495
0.1,0.0208929613085404,0.000612476441643389
0.1,0.0213796208950223,0.000637287602702391
0.1,0.0218776162394955,0.000663219191186942
0.1,0.0223872113856834,0.000690326194730551
0.1,0.0229086765276777,0.000718666487223282
0.1,0.0234422881531992,0.000748300989758683
0.1,0.0239883291901949,0.000779293841097138
0.1,0.0245470891568503,0.000811712578241545
0.1,0.0251188643150958,0.000845628327760566
0.1,0.0257039578276886,0.00088111600853685
0.1,0.0263026799189538,0.000918254546662762
0.1,0.0269153480392691,0.000957127103254269
0.1,0.0275422870333817,0.000997821316005386
0.1,0.0281838293126445,0.00104042955536072
0.1,0.0288403150312661,0.00108504919624289
0.1,0.0295120922666638,0.00113178290633492
0.1,0.0301995172040202,0.0011807389519854
0.1,0.0309029543251359,0.00123203152287718
0.1,0.0316227766016838,0.00128578107667788
0.1,0.0323593656929628,0.00134211470497419
0.1,0.0331131121482591,0.00140116652188124
0.1,0.0338844156139203,0.00146307807681425
0.1,0.0346736850452532,0.00152799879301245
0.1,0.0354813389233575,0.00159608643351565
0.1,0.0363078054770102,0.00166750759641184
0.1,0.0371535229097173,0.00174243824130152
0.1,0.0380189396320561,0.0018210642490604
0.1,0.038904514499428,0.00190358201712828
0.1,0.0398107170553498,0.00199019909270912
0.1,0.0407380277804113,0.0020811348464356
0.1,0.0416869383470335,0.00217662118923275
0.1,0.0426579518801593,0.00227690333530939
0.1,0.0436515832240166,0.0023822406144155
0.1,0.0446683592150963,0.00249290733672779
0.1,0.0457088189614875,0.00260919371396731
0.1,0.0467735141287198,0.00273140684061275
0.1,0.0478630092322638,0.00285987173935155
0.1,0.0489778819368447,0.00299493247521178
0.1,0.0501187233627272,0.00313695334314028
0.1,0.0512861383991365,0.0032863201341403
0.1,0.0524807460249772,0.00344344148545578
0.1,0.0537031796370253,0.00360875032069203
0.1,0.0549540873857625,0.00378270538619616
0.1,0.0562341325190349,0.00396579289048754
0.1,0.0575439937337157,0.00415852825403115
0.1,0.058884365535559,0.00436145797718906
0.1,0.0602559586074358,0.00457516163476847
0.1,0.0616595001861482,0.00480025400621489
0.1,0.0630957344480193,0.00503738735117679
0.1,0.0645654229034656,0.00528725384090009
0.1,0.0660693448007596,0.00555058815669988
0.1,0.0676082975391982,0.00582817026760817
0.1,0.0691830970918936,0.00612082840021447
0.1,0.0707945784384139,0.00642944221470794
0.1,0.0724435960074991,0.00675494620219952
0.1,0.0741310241300918,0.00709833331955813
0.1,0.0758577575029184,0.00746065887924227
0.1,0.0776247116628691,0.00784304471295677
0.1,0.0794328234724282,0.00824668362942019
0.1,0.0812830516164099,0.00867284418810176
0.1,0.0831763771102671,0.00912287581248849
0.1,0.0851138038202376,0.00959821426828056
0.1,0.0870963589956081,0.0101003875339028
0.1,0.0891250938133746,0.0106310220928699
0.1,0.091201083935591,0.0111918496798698
0.1,0.0933254300796991,0.0117847145149477
0.1,0.0954992586021437,0.0124115810628971
0.1,0.0977237220955811,0.0130745423579146
0.1,0.1,0.0137758289367687
0.1,0.102329299228075,0.0145178184271924
0.1,0.10471285480509,0.0153030458419544
0.1,0.107151930523761,0.0161342146331272
0.1,0.109647819614319,0.017014208565466
0.1,0.112201845430196,0.0179461044725847
0.1,0.114815362149688,0.018933185964784
0.1,0.117489755493953,0.0199789581629964
0.1,0.120226443461741,0.0210871635393935
0.1,0.123026877081238,0.0222617989518006
0.1,0.125892541179417,0.0235071339662261
0.1,0.128824955169313,0.024827730569584
0.1,0.131825673855641,0.02622846438313
0.1,0.134896288259165,0.0277145474962904
0.1,0.138038426460288,0.0292915530505201
0.1,0.141253754462276,0.0309654417136391
0.1,0.144543977074593,0.0327425901968393
0.1,0.147910838816821,0.0346298219793354
0.1,0.151356124843621,0.0366344404195017
0.1,0.154881661891248,0.0387642644464421
0.1,0.158489319246111,0.0410276670423494
0.1,0.162181009735893,0.0434336167438753
0.1,0.165958690743756,0.0459917224101517
0.1,0.169824365246175,0.048712281526262
0.1,0.173780082874938,0.0516063323339674
0.1,0.177827941003892,0.054685710106563
0.1,0.181970085860998,0.0579631079120212
0.1,0.186208713666287,0.0614521422383122
0.1,0.190546071796325,0.0651674238871712
0.1,0.194984459975805,0.0691246345778793
0.1,0.199526231496888,0.0733406097410804
0.1,0.204173794466953,0.0778334280245949
0.1,0.208929613085404,0.0826225080789096
0.1,0.213796208950223,0.0877287132398935
0.1,0.218776162394955,0.0931744647806785
0.1,0.223872113856834,0.0989838644639994
0.1,0.229086765276777,0.105182827191054
0.1,0.234422881531992,0.11179922461365
0.1,0.239883291901949,0.11886304065357
0.1,0.245470891568503,0.126406539957394
0.1,0.251188643150958,0.134464450407058
0.1,0.257039578276886,0.143074160906975
0.1,0.263026799189538,0.152275935778467
0.1,0.269153480392691,0.162113147212268
0.1,0.275422870333817,0.172632527361167
0.1,0.281838293126445,0.183884441798312
0.1,0.288403150312661,0.195923186223649
0.1,0.295120922666638,0.20880730847251
0.1,0.301995172040202,0.222599958068165
0.1,0.309029543251359,0.237369265765454
0.1,0.316227766016838,0.253188755757454
0.1,0.323593656929628,0.270137793463041
0.1,0.331131121482591,0.288302072082541
0.1,0.338844156139203,0.307774141403486
0.1,0.346736850452532,0.328653982661348
0.1,0.354813389233575,0.351049633613733
0.1,0.363078054770102,0.375077868373913
0.1,0.371535229097173,0.400864936973954
0.1,0.380189396320561,0.428547370092805
0.1,0.389045144994281,0.458272854894373
0.1,0.398107170553498,0.490201188479373
0.1,0.407380277804113,0.524505316067211
0.1,0.416869383470336,0.561372461695858
0.1,0.426579518801593,0.601005359964076
0.1,0.436515832240166,0.643623598148287
0.1,0.446683592150963,0.689465078912408
0.1,0.457088189614875,0.738787614801139
0.1,0.467735141287198,0.791870666773922
0.1,0.478630092322638,0.84901724020717
0.1,0.489778819368447,0.910555953077146
0.1,0.501187233627272,0.976843292445811
0.1,0.512861383991365,1
0.1,0.524807460249772,1
0.1,0.537031796370253,1
0.1,0.549540873857625,1
0.1,0.562341325190349,1
0.1,0.575439937337157,1
0.1,0.58884365535559,1
0.1,0.602559586074358,1
0.1,0.616595001861482,1
0.1,0.630957344480193,1
0.1,0.645654229034656,1
0.1,0.660693448007596,1
0.1,0.676082975391982,1
0.1,0.691830970918936,1
0.1,0.707945784384139,1
0.1,0.724435960074991,1
0.1,0.741310241300918,1
0.1,0.758577575029184,1
0.1,0.776247116628691,1
0.1,0.794328234724282,1
0.1,0.8128305161641,1
0.1,0.831763771102671,1
0.1,0.851138038202376,1
0.1,0.870963589956081,1
0.1,0.891250938133746,1
0.1,0.91201083935591,1
0.1,0.93325430079699,1
