"Spread_Frac","Virus_D","Intact_To_Target_Virions","Sim","To_Target_Virions","Target_Virion_Cost"
"Diffusion Only",2.06632592536204,9.9,8,32,223.232323232323
"Diffusion Only",2.06632592536204,9.9,9,33,233.333333333333
"Diffusion Only",2.06632592536204,9.9,10,35,253.535353535354
"Diffusion Only",2.36735592102602,9.7,1,37,281.443298969072
"Diffusion Only",2.36735592102602,9.7,2,36,271.134020618557
"Diffusion Only",2.36735592102602,9.7,3,36,271.134020618557
"Diffusion Only",2.36735592102602,9.7,4,41,322.680412371134
"Diffusion Only",2.36735592102602,9.7,5,30,209.278350515464
"Diffusion Only",2.36735592102602,9.7,6,35,260.824742268041
"Diffusion Only",2.36735592102602,9.7,7,43,343.298969072165
"Diffusion Only",2.36735592102602,9.7,8,40,312.371134020619
"Diffusion Only",2.36735592102602,9.7,9,35,260.824742268041
"Diffusion Only",2.36735592102602,9.7,10,31,219.587628865979
"Diffusion Only",2.5434471800817,9.8,1,38,287.755102040816
"Diffusion Only",2.5434471800817,9.8,2,36,267.34693877551
"Diffusion Only",2.5434471800817,9.8,3,45,359.183673469388
"Diffusion Only",2.5434471800817,9.8,4,45,359.183673469388
"Diffusion Only",2.5434471800817,9.8,5,34,246.938775510204
"Diffusion Only",2.5434471800817,9.8,6,39,297.959183673469
"Diffusion Only",2.5434471800817,9.8,7,46,369.387755102041
"Diffusion Only",2.5434471800817,9.8,8,41,318.367346938775
"Diffusion Only",2.5434471800817,9.8,9,42,328.571428571429
"Diffusion Only",2.5434471800817,9.8,10,35,257.142857142857
"Diffusion Only",2.66838591669,9.8,1,36,267.34693877551
"Diffusion Only",2.66838591669,9.8,2,34,246.938775510204
"Diffusion Only",2.66838591669,9.8,3,41,318.367346938775
"Diffusion Only",2.66838591669,9.8,4,43,338.775510204082
"Diffusion Only",2.66838591669,9.8,5,37,277.551020408163
"Diffusion Only",2.66838591669,9.8,6,38,287.755102040816
"Diffusion Only",2.66838591669,9.8,7,43,338.775510204082
"Diffusion Only",2.66838591669,9.8,8,36,267.34693877551
"Diffusion Only",2.66838591669,9.8,9,41,318.367346938775
"Diffusion Only",2.66838591669,9.8,10,34,246.938775510204
"Diffusion Only",2.76529592969806,9.8,1,38,287.755102040816
"Diffusion Only",2.76529592969806,9.8,2,36,267.34693877551
"Diffusion Only",2.76529592969806,9.8,3,42,328.571428571429
"Diffusion Only",2.76529592969806,9.8,4,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,5,39,297.959183673469
"Diffusion Only",2.76529592969806,9.8,6,40,308.163265306122
"Diffusion Only",2.76529592969806,9.8,7,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,8,48,389.795918367347
"Diffusion Only",2.76529592969806,9.8,9,44,348.979591836735
"Diffusion Only",2.76529592969806,9.8,10,36,267.34693877551
"Diffusion Only",3.06632592536204,9.8,1,41,318.367346938775
"Diffusion Only",3.06632592536204,9.8,2,36,267.34693877551
"Diffusion Only",3.06632592536204,9.8,3,46,369.387755102041
"Diffusion Only",3.06632592536204,9.8,4,43,338.775510204082
"Diffusion Only",3.06632592536204,9.8,5,40,308.163265306122
"Diffusion Only",3.06632592536204,9.8,6,41,318.367346938775
"Diffusion Only",3.06632592536204,9.8,7,51,420.408163265306
"Diffusion Only",3.06632592536204,9.8,8,51,420.408163265306
"Diffusion Only",3.06632592536204,9.8,9,45,359.183673469388
"Diffusion Only",3.06632592536204,9.8,10,35,257.142857142857
"Diffusion Only",3.36735592102602,9.6,1,44,358.333333333333
"Diffusion Only",3.36735592102602,9.6,2,41,327.083333333333
"Diffusion Only",3.36735592102602,9.6,3,42,337.5
"Diffusion Only",3.36735592102602,9.6,4,40,316.666666666667
"Diffusion Only",3.36735592102602,9.6,5,42,337.5
"Diffusion Only",3.36735592102602,9.6,6,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,7,54,462.5
"Diffusion Only",3.36735592102602,9.6,8,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,9,43,347.916666666667
"Diffusion Only",3.36735592102602,9.6,10,40,316.666666666667
"Diffusion Only",3.5434471800817,9.8,1,43,338.775510204082
"Diffusion Only",3.5434471800817,9.8,2,38,287.755102040816
"Diffusion Only",3.5434471800817,9.8,3,49,400
"Diffusion Only",3.5434471800817,9.8,4,39,297.959183673469
"Diffusion Only",3.5434471800817,9.8,5,38,287.755102040816
"Diffusion Only",3.5434471800817,9.8,6,41,318.367346938775
"Diffusion Only",3.5434471800817,9.8,7,50,410.204081632653
"Diffusion Only",3.5434471800817,9.8,8,56,471.428571428571
"Diffusion Only",3.5434471800817,9.8,9,48,389.795918367347
"Diffusion Only",3.5434471800817,9.8,10,35,257.142857142857
"Diffusion Only",3.66838591669,9.7,1,37,281.443298969072
"Diffusion Only",3.66838591669,9.7,2,35,260.824742268041
"Diffusion Only",3.66838591669,9.7,3,54,456.701030927835
"Diffusion Only",3.66838591669,9.7,4,44,353.60824742268
"Diffusion Only",3.66838591669,9.7,5,36,271.134020618557
"Diffusion Only",3.66838591669,9.7,6,54,456.701030927835
"Diffusion Only",3.66838591669,9.7,7,50,415.463917525773
"Diffusion Only",3.66838591669,9.7,8,43,343.298969072165
"Diffusion Only",3.66838591669,9.7,9,38,291.752577319588
"Diffusion Only",3.66838591669,9.7,10,34,250.515463917526
"Diffusion Only",3.76529592969806,9.6,1,39,306.25
"Diffusion Only",3.76529592969806,9.6,2,40,316.666666666667
"Diffusion Only",3.76529592969806,9.6,3,43,347.916666666667
"Diffusion Only",3.76529592969806,9.6,4,52,441.666666666667
"Diffusion Only",3.76529592969806,9.6,5,46,379.166666666667
"Diffusion Only",3.76529592969806,9.6,6,43,347.916666666667
"Diffusion Only",3.76529592969806,9.6,7,39,306.25
"Diffusion Only",3.76529592969806,9.6,8,47,389.583333333333
"Diffusion Only",3.76529592969806,9.6,9,46,379.166666666667
"Diffusion Only",3.76529592969806,9.6,10,34,254.166666666667
